gcr.io/google-containers/dnsmasq-metrics-amd64 1.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:4063e37fd9b2fd91b7cc5392ed32b30b9c8162c4c7ad2787624306fc133e80a9', 'err': 'None'}
gcr.io/google-containers/dnsmasq-metrics-amd64 1.0.1 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:6453b3ee4f5455657133ada25c858ba695d2f90db69f3e8e69b3d9a2f6392a66'}
gcr.io/google-containers/dnsmasq-metrics-arm64 1.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:fc0e8b676a26ed0056b8c68611b74b9b5f3f00c608e5b11ef1608484ce55dd9a', 'err': 'None'}
gcr.io/google-containers/etcd-version-monitor 0.1.0 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:52d971590be1d9d295ed723167741c8ad8077c7335f85c73f38873e3238705bb'}
gcr.io/google-containers/etcd-version-monitor 0.1.1 {'date': '20171214', 'ok': True, 'digest': u'sha256:80fa67e91ea56795e201f68f39130b51d2d4942cecc1a30f67708c89121dd691', 'err': 'None'}
gcr.io/google-containers/etcd-version-monitor 0.1.2 {'date': '20180223', 'ok': True, 'digest': u'sha256:d656e470f22b049f2bf8c2dd40d4b28dd223503d955919ec7effcbe146d1b9d7', 'err': 'None'}
gcr.io/google-containers/etcd-version-monitor 0.1.2-rc.0 {'date': '20180216', 'ok': True, 'err': 'None', 'digest': u'sha256:d656e470f22b049f2bf8c2dd40d4b28dd223503d955919ec7effcbe146d1b9d7'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.1 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:730f0ef2b62b48c8db24e0bc05ec3f9b00e8ffe88301841a9b641fcda24701b9'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:c7c163defb3241353aeb30912cc8fa5832979704e36528a0244809d39a0ae417', 'err': 'None'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.2 {'date': '20170730', 'ok': True, 'digest': u'sha256:b890267e697e4237ef5b067828cd5db1617874219f5ce9e6a18bfbc688b77300', 'err': 'None'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.0.0 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:051308085c2ef4b10f2153532ce532a3c235966d25b746b09ec9e6a7309c3e11'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.1-r3 {'date': '20170730', 'ok': True, 'digest': u'sha256:c4d1f34e67f7349d0c56ba4d2d27cbc7a8a28937ed4843c482892ff32c31db7f', 'err': 'None'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.0-r3 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:70691f32a83ce9a9e15fa2ad93dcd6b229dcfaedf106a1912053fe1f6d3bf045'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.3.0 {'date': '20181003', 'ok': True, 'err': 'None', 'digest': u'sha256:5c49c2761a9166f2c265dae6b9048e7c1f99759a32ce080136006db79045f896'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.2.0 {'date': '20180712', 'ok': True, 'digest': u'sha256:e48831d8bd426f705ef649d66d1092740fc70937ccf57c0b4b105ebf586a7a05', 'err': 'None'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.1.2-r2 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:f145fbcd3cc4183e960f41a0c5339885c7322b0c3b916393104db4d802b9c683'}
gcr.io/google-containers/cluster-proportional-autoscaler-arm64 1.4.0 {'date': '20190129', 'ok': True, 'digest': u'sha256:fb1ae8ee92a7e53baf004d8c5d096fcd7ff2ec779d72d53491ea3688509f2201', 'err': 'None'}
gcr.io/google-containers/cuda-vector-add v0.1 {'date': '20170730', 'ok': True, 'digest': u'sha256:0705cd690bc0abf54c0f0489d82bb846796586e9d087e9a93b5794576a456aea', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.2-beta.0 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:75347981c8c966a85c41ec83a1ba19f8fe9a0709cf9519a44969daf545f5366f'}
gcr.io/google-containers/hyperkube-s390x v1.11.2-beta.0 {'date': '20180719', 'ok': True, 'err': 'None', 'digest': u'sha256:8ecc2519e77b954de45a780ecd93461cba4b9405d594396c583ede222c45cc38'}
gcr.io/google-containers/hyperkube-s390x v1.6.1-beta.0 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:587acf9f029cd2f918cc9d5fb0fb71517aa2036184ad5ad2945862553774f98e'}
gcr.io/google-containers/hyperkube-s390x v1.9.10 {'date': '20180803', 'ok': True, 'err': 'None', 'digest': u'sha256:d929dbf89f7ccce30fa99f10df2ac2a0dcd9ba69f983f7e349de1e34868fd5e9'}
gcr.io/google-containers/hyperkube-s390x v1.9.11 {'date': '20181002', 'ok': True, 'err': 'None', 'digest': u'sha256:d9919344cb2cb9c8b175591b95c7ecb6e27ab407fc5ae485d475669351aa8c3e'}
gcr.io/google-containers/hyperkube-s390x v1.6.3 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:b0ab292ab911e04518c87af2436aa98f3eca5ce70da8c16872cf8e03d4bdee94'}
gcr.io/google-containers/hyperkube-s390x v1.6.2 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:5ed43de8eb2d52131b79288693cd829b3647fac09f155fc35c82dc098072e36a'}
gcr.io/google-containers/hyperkube-s390x v1.6.1 {'date': '20170731', 'ok': True, 'digest': u'sha256:2d1acd2759b3e92b60a5169308211908222157a5fa0bf45ab39a3cdc9f170f50', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.0 {'date': '20170731', 'ok': True, 'digest': u'sha256:cdbb826c3379c8aa58eb9072d301f1e73485eb22d126445f5bbcd43edab0947c', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.7 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:7831971bb3f058285e0f6a551da5aa4db87c1c70d34466bcf90eb346a270413c'}
gcr.io/google-containers/hyperkube-s390x v1.10.10 {'date': '20181114', 'ok': True, 'digest': u'sha256:59fba1067e9679ecebe03b36df1a341d96350d9d5cfae7036bb77316216b079e', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.5 {'date': '20170730', 'ok': True, 'digest': u'sha256:ae14d3899202cdf5181f1bac5cae2ce3e860d920f32bbcad2b622c8723742a5e', 'err': 'None'}
